card_name,version,set,seller_name,quantity,price,condition,language
"Aatchik, Emerald Radian",,Aetherdrift,ManaTemple,3,"0,18 €",Excellent,English
"Aatchik, Emerald Radian",,Aetherdrift,All4play,1,"0,18 €",Excellent,Spanish
"Aatchik, Emerald Radian",,Aetherdrift,Moria05,4,"0,19 €",Near Mint,English
"Aatchik, Emerald Radian",,Aetherdrift,ManaTemple,2,"0,19 €",Near Mint,English
"Aatchik, Emerald Radian",,Aetherdrift,ArcanaFrisia,3,"0,19 €",Near Mint,English
Adrenaline Jockey,,Aetherdrift,MagicNice,1,"0,02 €",Mint,French
Adrenaline Jockey,,Aetherdrift,Hobby-Games,8,"0,02 €",Near Mint,English
Adrenaline Jockey,,Aetherdrift,ledouble6,1,"0,02 €",Near Mint,French
Adrenaline Jockey,,Aetherdrift,HouseOfCardsBE,3,"0,02 €",Near Mint,English
Adrenaline Jockey,,Aetherdrift,ARK-Games,2,"0,02 €",Near Mint,French
Adrenaline Jockey,,Aetherdrift,JackTradesCards,2,"0,03 €",Near Mint,English
Adrenaline Jockey,,Aetherdrift,Cardsgamesenfoli,4,"0,02 €",Near Mint,French
Adrenaline Jockey,,Aetherdrift,Frostin,2,"0,02 €",Near Mint,German
Adrenaline Jockey,,Aetherdrift,Neutrinic7k4,2,"0,02 €",Near Mint,English
Adrenaline Jockey,,Aetherdrift,BoxFreshGaming,1,"0,03 €",Near Mint,English
Adrenaline Jockey,,Aetherdrift,antoct1991,6,"0,02 €",Near Mint,English
Adrenaline Jockey,,Aetherdrift,Echoppe-du-Voyageur,1,"0,02 €",Near Mint,English
Adrenaline Jockey,,Aetherdrift,Sole19-41,1,"0,02 €",Near Mint,English
Adrenaline Jockey,,Aetherdrift,Zhalfyr,1,"0,02 €",Near Mint,Spanish
Adrenaline Jockey,,Aetherdrift,Stormcollectiblesmtg,4,"0,02 €",Near Mint,English
Adrenaline Jockey,,Aetherdrift,LestrangeMarket,2,"0,02 €",Near Mint,French
Adrenaline Jockey,,Aetherdrift,Gurrusgur,1,"0,02 €",Near Mint,Spanish
Adrenaline Jockey,,Aetherdrift,CallJ,1,"0,02 €",Near Mint,French
Adrenaline Jockey,,Aetherdrift,FoilFinder,3,"0,02 €",Near Mint,English
Adrenaline Jockey,,Aetherdrift,PELIENMAA,2,"0,02 €",Near Mint,English
Adrenaline Jockey,,Aetherdrift,LaMafiaDelCarton,1,"0,02 €",Near Mint,English
Adrenaline Jockey,,Aetherdrift,The-Archivist,1,"0,02 €",Near Mint,English
Adrenaline Jockey,,Aetherdrift,AlpacaTCG,8,"0,03 €",Near Mint,English
Adrenaline Jockey,,Aetherdrift,MTG-AGORA,4,"0,04 €",Near Mint,English
Adrenaline Jockey,,Aetherdrift,Animehousegr,7,"0,04 €",Near Mint,English
Adrenaline Jockey,,Aetherdrift,MagicElendra,4,"0,04 €",Near Mint,English
Adrenaline Jockey,,Aetherdrift,La-Ludosaure,2,"0,04 €",Near Mint,French
Adrenaline Jockey,,Aetherdrift,AtlasTCG,6,"0,04 €",Near Mint,English
Adrenaline Jockey,,Aetherdrift,Distritozero-Bilbao,8,"0,05 €",Near Mint,English
Adrenaline Jockey,,Aetherdrift,samarpan,29,"0,05 €",Near Mint,English
Adrenaline Jockey,,Aetherdrift,ggmagic,1,"0,05 €",Near Mint,English
Adrenaline Jockey,,Aetherdrift,Roll-n-Trade,2,"0,05 €",Near Mint,English
Adrenaline Jockey,,Aetherdrift,yardbirds,4,"0,05 €",Near Mint,English
Adrenaline Jockey,,Aetherdrift,HamelinGames,1,"0,05 €",Near Mint,English
Adrenaline Jockey,,Aetherdrift,AsgardBCN,1,"0,05 €",Near Mint,English
Adrenaline Jockey,,Aetherdrift,AsgardBCN,1,"0,05 €",Near Mint,Spanish
Adrenaline Jockey,,Aetherdrift,slashrose,1,"0,05 €",Near Mint,English
Adrenaline Jockey,,Aetherdrift,Manascrew,3,"0,05 €",Near Mint,English
Adrenaline Jockey,,Aetherdrift,Saturos333,1,"0,05 €",Near Mint,English
Adrenaline Jockey,,Aetherdrift,Penumbra92,106,"0,05 €",Near Mint,English
Adrenaline Jockey,,Aetherdrift,Maddon,4,"0,05 €",Near Mint,English
Adrenaline Jockey,,Aetherdrift,Crytuz,1,"0,05 €",Near Mint,German
Adrenaline Jockey,,Aetherdrift,LaJugonzona,1,"0,05 €",Near Mint,English
Adrenaline Jockey,,Aetherdrift,vsTrax,9,"0,05 €",Near Mint,English
Adrenaline Jockey,,Aetherdrift,LastPackMagic,7,"0,05 €",Near Mint,English
Adrenaline Jockey,,Aetherdrift,LastPackMagic,4,"0,05 €",Near Mint,Spanish
Adrenaline Jockey,,Aetherdrift,PureTCG,3,"0,05 €",Near Mint,English
Adrenaline Jockey,,Aetherdrift,PortalJuegos,1,"0,05 €",Near Mint,English
Adrenaline Jockey,,Aetherdrift,GamesTimeAlzate,6,"0,05 €",Near Mint,English
Adrenaline Jockey,,Aetherdrift,ThePokeCardExpert,2,"0,05 €",Near Mint,English
Aether Syphon,,Aetherdrift,triguetech,2,"0,02 €",Mint,English
Aether Syphon,,Aetherdrift,Hobby-Games,8,"0,02 €",Near Mint,English
Aether Syphon,,Aetherdrift,MTG-AGORA,4,"0,02 €",Near Mint,English
Aether Syphon,,Aetherdrift,samarpan,25,"0,02 €",Near Mint,English
Aether Syphon,,Aetherdrift,MythicVault,8,"0,02 €",Near Mint,English
Aether Syphon,,Aetherdrift,ARK-Games,1,"0,02 €",Near Mint,French
Aether Syphon,,Aetherdrift,JackTradesCards,9,"0,03 €",Near Mint,English
Aether Syphon,,Aetherdrift,Cardsgamesenfoli,2,"0,02 €",Near Mint,French
Aether Syphon,,Aetherdrift,antoct1991,7,"0,02 €",Near Mint,English
Aether Syphon,,Aetherdrift,Echoppe-du-Voyageur,2,"0,02 €",Near Mint,English
Aether Syphon,,Aetherdrift,Alfka,3,"0,03 €",Near Mint,English
Aether Syphon,,Aetherdrift,Stormcollectiblesmtg,3,"0,02 €",Near Mint,English
Aether Syphon,,Aetherdrift,FoilFinder,2,"0,02 €",Near Mint,English
Aether Syphon,,Aetherdrift,The-Archivist,1,"0,02 €",Near Mint,English
Aether Syphon,,Aetherdrift,LestrangeMarket,2,"0,03 €",Near Mint,French
Aether Syphon,,Aetherdrift,sweil,1,"0,03 €",Near Mint,English
Aether Syphon,,Aetherdrift,Animehousegr,9,"0,04 €",Near Mint,English
Aether Syphon,,Aetherdrift,meeples-et-cartes,2,"0,04 €",Near Mint,French
Aether Syphon,,Aetherdrift,PlayToWinLGS,6,"0,04 €",Near Mint,English
Aether Syphon,,Aetherdrift,PokemondoGE,1,"0,04 €",Near Mint,Italian
Aether Syphon,,Aetherdrift,LastPackMagic,3,"0,04 €",Near Mint,Spanish
Aether Syphon,,Aetherdrift,La-Ludosaure,2,"0,04 €",Near Mint,French
Aether Syphon,,Aetherdrift,AtlasTCG,6,"0,04 €",Near Mint,English
Aether Syphon,,Aetherdrift,antredemondes,7,"0,04 €",Near Mint,French
Aether Syphon,,Aetherdrift,Distritozero-Bilbao,8,"0,05 €",Near Mint,English
Aether Syphon,,Aetherdrift,Roll-n-Trade,6,"0,05 €",Near Mint,English
Aether Syphon,,Aetherdrift,yardbirds,4,"0,05 €",Near Mint,English
Aether Syphon,,Aetherdrift,HamelinGames,1,"0,05 €",Near Mint,English
Aether Syphon,,Aetherdrift,HamelinGames,3,"0,05 €",Near Mint,Spanish
Aether Syphon,,Aetherdrift,AsgardBCN,1,"0,05 €",Near Mint,English
Aether Syphon,,Aetherdrift,slashrose,4,"0,05 €",Near Mint,English
Aether Syphon,,Aetherdrift,GeekParadise-Tom,3,"0,05 €",Near Mint,Spanish
Aether Syphon,,Aetherdrift,Schandt,3,"0,05 €",Near Mint,German
Aether Syphon,,Aetherdrift,Manascrew,4,"0,05 €",Near Mint,English
Aether Syphon,,Aetherdrift,Beale,1,"0,05 €",Near Mint,English
Aether Syphon,,Aetherdrift,ZenithGameStore,7,"0,05 €",Near Mint,English
Aether Syphon,,Aetherdrift,Maddon,2,"0,05 €",Near Mint,English
Aether Syphon,,Aetherdrift,Crytuz,1,"0,05 €",Near Mint,German
Aether Syphon,,Aetherdrift,vsTrax,10,"0,05 €",Near Mint,English
Aether Syphon,,Aetherdrift,Sole19-41,1,"0,05 €",Near Mint,Italian
Aether Syphon,,Aetherdrift,PureTCG,3,"0,05 €",Near Mint,English
Aether Syphon,,Aetherdrift,GamesTimeAlzate,5,"0,05 €",Near Mint,English
Aether Syphon,,Aetherdrift,AndreHerrmann,1,"0,05 €",Near Mint,German
Aether Syphon,,Aetherdrift,CallJ,1,"0,05 €",Near Mint,French
Aether Syphon,,Aetherdrift,Mister-Daggle,1,"0,05 €",Near Mint,French
Aether Syphon,,Aetherdrift,LudusBelli,1,"0,05 €",Near Mint,Spanish
Aether Syphon,,Aetherdrift,Les3Commandements,3,"0,05 €",Near Mint,French
Aether Syphon,,Aetherdrift,Akibaloots,2,"0,05 €",Near Mint,Spanish
Aether Syphon,,Aetherdrift,Ladyangie,12,"0,05 €",Excellent,English
Aether Syphon,,Aetherdrift,AM-giochi,2,"0,05 €",Excellent,Italian
Aetherjacket,,Aetherdrift,Hobby-Games,8,"0,02 €",Near Mint,English
Aetherjacket,,Aetherdrift,MTG-AGORA,4,"0,02 €",Near Mint,English
Aetherjacket,,Aetherdrift,samarpan,103,"0,02 €",Near Mint,English
Aetherjacket,,Aetherdrift,Cardaccess,2,"0,02 €",Near Mint,French
Aetherjacket,,Aetherdrift,HouseOfCardsBE,7,"0,02 €",Near Mint,English
Aetherjacket,,Aetherdrift,TCGDen,1,"0,02 €",Near Mint,English
Aetherjacket,,Aetherdrift,tradingoutpost,1,"0,02 €",Near Mint,English
Aetherjacket,,Aetherdrift,MythicVault,8,"0,02 €",Near Mint,English
Aetherjacket,,Aetherdrift,MythicVault,1,"0,02 €",Near Mint,English
Aetherjacket,,Aetherdrift,ValhallaTCG,3,"0,02 €",Near Mint,French
Aetherjacket,,Aetherdrift,ARK-Games,4,"0,02 €",Near Mint,French
Aetherjacket,,Aetherdrift,BlacklotusCZ,10,"0,02 €",Near Mint,English
Aetherjacket,,Aetherdrift,slashrose,11,"0,02 €",Near Mint,English
Aetherjacket,,Aetherdrift,JackTradesCards,29,"0,03 €",Near Mint,English
Aetherjacket,,Aetherdrift,Gamustore,6,"0,02 €",Near Mint,Spanish
Aetherjacket,,Aetherdrift,MagicElendra,4,"0,02 €",Near Mint,English
Aetherjacket,,Aetherdrift,MagicElendra,3,"0,02 €",Near Mint,Spanish
Aetherjacket,,Aetherdrift,Cardsgamesenfoli,4,"0,02 €",Near Mint,French
Aetherjacket,,Aetherdrift,Crytuz,3,"0,02 €",Near Mint,German
Aetherjacket,,Aetherdrift,Neutrinic7k4,3,"0,02 €",Near Mint,English
Aetherjacket,,Aetherdrift,BoxFreshGaming,1,"0,03 €",Near Mint,English
Aetherjacket,,Aetherdrift,antoct1991,16,"0,02 €",Near Mint,English
Aetherjacket,,Aetherdrift,Dragonphoenixinn,9,"0,02 €",Near Mint,English
Aetherjacket,,Aetherdrift,PlayToWinLGS,10,"0,02 €",Near Mint,English
Aetherjacket,,Aetherdrift,Echoppe-du-Voyageur,4,"0,02 €",Near Mint,English
Aetherjacket,,Aetherdrift,AJ-TCG,1,"0,03 €",Near Mint,English
Aetherjacket,,Aetherdrift,Dragonesylosetas,1,"0,02 €",Near Mint,Spanish
Aetherjacket,,Aetherdrift,Sole19-41,3,"0,02 €",Near Mint,English
Aetherjacket,,Aetherdrift,Sole19-41,2,"0,02 €",Near Mint,Italian
Aetherjacket,,Aetherdrift,PokemondoGE,1,"0,02 €",Near Mint,English
Aetherjacket,,Aetherdrift,PokemondoGE,1,"0,02 €",Near Mint,Italian
Aetherjacket,,Aetherdrift,LastPackMagic,15,"0,02 €",Near Mint,English
Aetherjacket,,Aetherdrift,LastPackMagic,8,"0,02 €",Near Mint,Spanish
Aetherjacket,,Aetherdrift,Onitorastore,1,"0,02 €",Near Mint,English
Aetherjacket,,Aetherdrift,ChillMTG,2,"0,02 €",Near Mint,French
Aetherjacket,,Aetherdrift,AlpacaTCG,21,"0,02 €",Near Mint,English
Aetherjacket,,Aetherdrift,Stormcollectiblesmtg,9,"0,02 €",Near Mint,English
Aetherjacket,,Aetherdrift,DottorZed,4,"0,02 €",Near Mint,Italian
Aetherjacket,,Aetherdrift,VeiSpot,1,"0,02 €",Near Mint,English
Aetherjacket,,Aetherdrift,CallJ,3,"0,02 €",Near Mint,French
Aetherjacket,,Aetherdrift,Wizardtcg,2,"0,02 €",Near Mint,English
Aetherjacket,,Aetherdrift,LeCollectionneur,1,"0,02 €",Near Mint,English
Aetherjacket,,Aetherdrift,GoxhillGames,4,"0,03 €",Near Mint,English
Aetherjacket,,Aetherdrift,Hidden-Gem-Cards,1,"0,03 €",Near Mint,English
Aetherjacket,,Aetherdrift,Sbruzzetta,3,"0,02 €",Near Mint,English
Aetherjacket,,Aetherdrift,SideQuestGr,3,"0,02 €",Near Mint,English
Aetherjacket,,Aetherdrift,FoilFinder,7,"0,02 €",Near Mint,English
Aetherjacket,,Aetherdrift,antredemondes,11,"0,02 €",Near Mint,French
Aetherjacket,,Aetherdrift,TableTaps,1,"0,03 €",Near Mint,English
Aetherjacket,,Aetherdrift,Akibaloots,3,"0,02 €",Near Mint,Spanish
Afterburner Expert,,Aetherdrift,ParkerCards,1,"0,03 €",Near Mint,English
Afterburner Expert,,Aetherdrift,EmporiumDuD20,1,"0,05 €",Near Mint,English
Afterburner Expert,,Aetherdrift,Gurrusgur,2,"0,06 €",Near Mint,English
Afterburner Expert,,Aetherdrift,Gurrusgur,1,"0,06 €",Near Mint,Spanish
Afterburner Expert,,Aetherdrift,Secondlife,3,"0,08 €",Near Mint,Italian
Afterburner Expert,,Aetherdrift,meldaur,1,"0,08 €",Near Mint,Italian
Afterburner Expert,,Aetherdrift,Hobby-Games,3,"0,09 €",Near Mint,English
Afterburner Expert,,Aetherdrift,TCG-Bernd,1,"0,09 €",Excellent,English
Afterburner Expert,,Aetherdrift,2depiques,2,"0,10 €",Near Mint,Spanish
Afterburner Expert,,Aetherdrift,MTG-Jens,1,"0,10 €",Near Mint,German
Afterburner Expert,,Aetherdrift,Puertofantasy,1,"0,10 €",Near Mint,English
Afterburner Expert,,Aetherdrift,Obedient0,1,"0,10 €",Near Mint,English
Afterburner Expert,,Aetherdrift,Ludik,2,"0,10 €",Near Mint,English
Afterburner Expert,,Aetherdrift,vsTrax,1,"0,10 €",Excellent,German
Afterburner Expert,,Aetherdrift,LootDropGames,14,"0,11 €",Near Mint,English
Afterburner Expert,,Aetherdrift,KelsKards,1,"0,12 €",Near Mint,English
Afterburner Expert,,Aetherdrift,PriceyCards,2,"0,12 €",Near Mint,English
Afterburner Expert,,Aetherdrift,TheTCGee,1,"0,12 €",Near Mint,English
Afterburner Expert,,Aetherdrift,ThePokeCardExpert,1,"0,12 €",Near Mint,English
Afterburner Expert,,Aetherdrift,ParadigmCards,1,"0,12 €",Near Mint,English
Afterburner Expert,,Aetherdrift,hefaistos,1,"0,12 €",Excellent,English
Afterburner Expert,,Aetherdrift,PlayToWinLGS,1,"0,14 €",Near Mint,English
Afterburner Expert,,Aetherdrift,GoxhillGames,1,"0,15 €",Near Mint,English
Afterburner Expert,,Aetherdrift,Games-Island,1,"0,14 €",Excellent,English
Afterburner Expert,,Aetherdrift,Games-Island,1,"0,14 €",Good,English
Afterburner Expert,,Aetherdrift,GAMEON,1,"0,15 €",Near Mint,English
Afterburner Expert,,Aetherdrift,GAMEON,4,"0,15 €",Near Mint,English
Afterburner Expert,,Aetherdrift,Kauppiasfoppa,1,"0,15 €",Near Mint,English
Afterburner Expert,,Aetherdrift,Cardfreaks,3,"0,15 €",Near Mint,English
Afterburner Expert,,Aetherdrift,LeVizz,4,"0,15 €",Near Mint,French
Afterburner Expert,,Aetherdrift,YourTradingCardShop,8,"0,15 €",Near Mint,English
Afterburner Expert,,Aetherdrift,HavenOfDragons,1,"0,15 €",Near Mint,English
Afterburner Expert,,Aetherdrift,SoHotTCG,4,"0,15 €",Near Mint,English
Afterburner Expert,,Aetherdrift,InvestMagicLand,4,"0,15 €",Near Mint,English
Afterburner Expert,,Aetherdrift,All-In-TCGames,7,"0,15 €",Near Mint,English
Afterburner Expert,,Aetherdrift,All-In-TCGames,1,"0,15 €",Near Mint,Spanish
Afterburner Expert,,Aetherdrift,All-In-TCGames,1,"0,15 €",Near Mint,Spanish
Afterburner Expert,,Aetherdrift,Secondlife,10,"0,15 €",Near Mint,English
Afterburner Expert,,Aetherdrift,EntreCartonesTcg,3,"0,15 €",Near Mint,English
Afterburner Expert,,Aetherdrift,topdeckgaming,1,"0,15 €",Near Mint,English
Afterburner Expert,,Aetherdrift,landoftcg,2,"0,16 €",Near Mint,English
Afterburner Expert,,Aetherdrift,Ladyangie,18,"0,15 €",Excellent,English
Afterburner Expert,,Aetherdrift,GAMEON,1,"0,15 €",Excellent,English
Afterburner Expert,,Aetherdrift,Kauppiasfoppa,1,"0,15 €",Excellent,English
Afterburner Expert,,Aetherdrift,Aradhirs-Kartenwelt,2,"0,15 €",Excellent,English
Afterburner Expert,,Aetherdrift,MtgForFun,2,"0,16 €",Near Mint,English
Afterburner Expert,,Aetherdrift,WDGAMES,2,"0,16 €",Near Mint,Italian
Afterburner Expert,,Aetherdrift,JoeBuddha,2,"0,17 €",Near Mint,English
Afterburner Expert,,Aetherdrift,JoeBuddha,2,"0,17 €",Near Mint,German
Afterburner Expert,,Aetherdrift,Cryptkeeper,5,"0,17 €",Near Mint,English
Agonasaur Rex,,Aetherdrift,ANIGAME,1,"0,29 €",Near Mint,English
Agonasaur Rex,,Aetherdrift,CardsRealm,2,"0,30 €",Near Mint,English
Agonasaur Rex,,Aetherdrift,Akinari1994,1,"0,30 €",Near Mint,Italian
Agonasaur Rex,,Aetherdrift,RedDragonsVault,1,"0,30 €",Near Mint,English
Agonasaur Rex,,Aetherdrift,tokapite,1,"0,30 €",Near Mint,French
Agonasaur Rex,,Aetherdrift,Tap-n-Trade,1,"0,35 €",Near Mint,English
Agonasaur Rex,,Aetherdrift,CardGamePontediLegno,1,"0,35 €",Near Mint,Italian
Agonasaur Rex,,Aetherdrift,TolariaGames,1,"0,44 €",Near Mint,English
Agonasaur Rex,,Aetherdrift,ToyTonys,1,"0,48 €",Near Mint,Italian
Agonasaur Rex,,Aetherdrift,JK-Entertainment,4,"0,49 €",Near Mint,English
Agonasaur Rex,,Aetherdrift,Cryptkeeper,2,"0,49 €",Near Mint,English
Agonasaur Rex,,Aetherdrift,DarumaGames,2,"0,49 €",Near Mint,English
Agonasaur Rex,,Aetherdrift,Kalipilux,1,"0,49 €",Near Mint,German
Agonasaur Rex,,Aetherdrift,c4gamers,2,"0,50 €",Near Mint,English
Agonasaur Rex,,Aetherdrift,twentyfive25,1,"0,50 €",Near Mint,English
Agonasaur Rex,,Aetherdrift,twentyfive25,1,"0,50 €",Near Mint,Italian
Agonasaur Rex,,Aetherdrift,kingdomcards-shop,2,"0,50 €",Near Mint,English
Agonasaur Rex,,Aetherdrift,RebelForge,1,"0,50 €",Near Mint,French
Agonasaur Rex,,Aetherdrift,Manamangasas,2,"0,50 €",Near Mint,English
Agonasaur Rex,,Aetherdrift,AFGAMES,2,"0,50 €",Excellent,English
Agonasaur Rex,,Aetherdrift,HammerOfWar,1,"0,50 €",Excellent,English
Agonasaur Rex,,Aetherdrift,Geeksheaven,1,"0,51 €",Near Mint,German
Agonasaur Rex,,Aetherdrift,satrianONE,1,"0,53 €",Near Mint,German
Agonasaur Rex,,Aetherdrift,Mastercollectors25,1,"0,55 €",Near Mint,English
Agonasaur Rex,,Aetherdrift,CITADELLE,1,"0,59 €",Near Mint,French
Agonasaur Rex,,Aetherdrift,Wakonetzki,1,"0,59 €",Near Mint,English
Agonasaur Rex,,Aetherdrift,TheTCGee,1,"0,60 €",Near Mint,English
Agonasaur Rex,,Aetherdrift,cardcorner-at,3,"0,59 €",Near Mint,English
Agonasaur Rex,,Aetherdrift,cardcorner-at,1,"0,59 €",Near Mint,German
Agonasaur Rex,,Aetherdrift,ChimeraTrading,1,"0,59 €",Excellent,English
Agonasaur Rex,,Aetherdrift,Lukman29,1,"0,60 €",Near Mint,German
Agonasaur Rex,,Aetherdrift,ChimeraTrading,1,"0,60 €",Near Mint,English
Agonasaur Rex,,Aetherdrift,OmarMagic,1,"0,60 €",Good,English
Agonasaur Rex,,Aetherdrift,ArcanaFrisia,1,"0,64 €",Near Mint,English
Agonasaur Rex,,Aetherdrift,SchrottosCCGs,1,"0,65 €",Near Mint,English
Agonasaur Rex,,Aetherdrift,SchrottosCCGs,1,"0,65 €",Near Mint,English
Agonasaur Rex,,Aetherdrift,Ceriny,1,"0,65 €",Near Mint,German
Agonasaur Rex,,Aetherdrift,Sebuuster,1,"0,66 €",Near Mint,German
Agonasaur Rex,,Aetherdrift,templars-arena,1,"0,66 €",Near Mint,English
Agonasaur Rex,,Aetherdrift,MTGTopdecker,4,"0,67 €",Near Mint,English
Agonasaur Rex,,Aetherdrift,TheArena,1,"0,67 €",Near Mint,English
Agonasaur Rex,,Aetherdrift,WobblyTCG,1,"0,67 €",Near Mint,English
Agonasaur Rex,,Aetherdrift,AltdorGames,1,"0,68 €",Near Mint,English
Agonasaur Rex,,Aetherdrift,ThePokeCardExpert,3,"0,68 €",Near Mint,English
Agonasaur Rex,,Aetherdrift,MoatnCards,1,"0,68 €",Near Mint,German
Agonasaur Rex,,Aetherdrift,Valums-Wunderland,1,"0,69 €",Near Mint,English
Agonasaur Rex,,Aetherdrift,ArcanaFrisia,1,"0,69 €",Near Mint,English
Agonasaur Rex,,Aetherdrift,Nagumi,3,"0,69 €",Near Mint,German
Agonasaur Rex,,Aetherdrift,CrCards,1,"0,69 €",Near Mint,Spanish
Agonasaur Rex,,Aetherdrift,Schandt,1,"0,69 €",Near Mint,English
Air Response Unit,,Aetherdrift,Hobby-Games,8,"0,02 €",Near Mint,English
Air Response Unit,,Aetherdrift,MTG-AGORA,4,"0,02 €",Near Mint,English
Air Response Unit,,Aetherdrift,samarpan,42,"0,02 €",Near Mint,English
Air Response Unit,,Aetherdrift,HouseOfCardsBE,3,"0,02 €",Near Mint,English
Air Response Unit,,Aetherdrift,NiceMTG,1,"0,02 €",Near Mint,English
Air Response Unit,,Aetherdrift,MythicVault,1,"0,02 €",Near Mint,English
Air Response Unit,,Aetherdrift,MythicVault,7,"0,02 €",Near Mint,English
Air Response Unit,,Aetherdrift,ARK-Games,4,"0,02 €",Near Mint,French
Air Response Unit,,Aetherdrift,BlacklotusCZ,27,"0,02 €",Near Mint,English
Air Response Unit,,Aetherdrift,JackTradesCards,10,"0,03 €",Near Mint,English
Air Response Unit,,Aetherdrift,MagicElendra,4,"0,02 €",Near Mint,English
Air Response Unit,,Aetherdrift,Cardsgamesenfoli,1,"0,02 €",Near Mint,French
Air Response Unit,,Aetherdrift,antoct1991,7,"0,02 €",Near Mint,English
Air Response Unit,,Aetherdrift,Dragonphoenixinn,9,"0,02 €",Near Mint,English
Air Response Unit,,Aetherdrift,KostrelWaylie,1,"0,02 €",Near Mint,English
Air Response Unit,,Aetherdrift,PlayToWinLGS,6,"0,02 €",Near Mint,English
