name,real_name,country,seller_type,sales_count,available_items,rating,approval_very_good,approval_good,approval_neutral,approval_bad,shipping_days,street_address,postal_code,city
AdCardCollectibles,Adriano Cardoso,Portugal,Professional,22033,173725,Outstanding,98.8 %,0.6 %,0.6 %,0 %,18,"Rua Padre Alfredo Fernandes de Brito, Nº20, Loja 3",2665-527,Venda do Pinheiro
AdiBaba,Le Dragon Joueur - La Caverne d'Adi Baba,France,Professional,205,19,Outstanding,100 %,0 %,0 %,0 %,11,52 Rue De La République,42400,Saint-Chamond
Adrien1987,Adrien Gauthier,France,Professional,6206,304,Outstanding,100 %,0 %,0 %,0 %,12,17 Place de la République,08600,Givet
Adventures-Sold0,Sold0 srls,Italy,Professional,189,1699,Outstanding,100 %,0 %,0 %,0 %,14,Corso Dante 58,14100,Asti
AetherQuelle,AetherQuelle,Germany,Professional,737,4003,Outstanding,100 %,0 %,0 %,0 %,11,Europastr. 98a,24976,Handewitt
AffairsEchirolles,Affair's,France,Professional,352,59,Outstanding,99 %,0 %,1 %,0 %,14,21 Avenue Salvador Allende,38130,Echirolles
AFGAMES,AF Games Milano,Italy,Professional,7041,30233,Outstanding,100 %,0 %,0 %,0 %,14,Piazza Damiano Chiesa 11,20149,Milano (MI)
afistfulofdice,A Fistful of Dice,United Kingdom,Professional,253,4921,Outstanding,100 %,0 %,0 %,0 %,8,69 Elm Grove,PO5 1JF,Southsea
AfoCardVault,AFOCARDVAULT,Spain,Professional,2656,32347,Outstanding,99 %,1 %,0 %,0 %,9,"Gran Via De Les Cortes Catalanes 278, 6-2",08004,Barcelona
agumakestokens,AGU Agnieszka Zagórska,Poland,Professional,3880,3594,Outstanding,99 %,1 %,0 %,0 %,20,Kresowa 9,30-394,Kraków
Aitarak,Fernandes da Silva's Ludus,Switzerland,Professional,9867,21424,Outstanding,99.2 %,0.8 %,0 %,0 %,7,Konstanzerstrasse 38,8280,Kreuzlingen
AJ-Seller,Ali Talha Sükür,Germany,Professional,2247,4091,Outstanding,100 %,0 %,0 %,0 %,16,Homfelder Str. 19,28325,Bremen
AJ-TCG,AJ-TCG ltd,United Kingdom,Professional,1753,9194,Outstanding,99 %,0.5 %,0.5 %,0 %,12,54 Manchester Road,PR1 3YH,Preston
Akarui-86,Francisco Costa,Portugal,Professional,339,15848,Outstanding,100 %,0 %,0 %,0 %,14,Travessa Da Rua Do Passal 9,9500-097,Ponta Delgada
Akeycollects,Akeycollects LTD,United Kingdom,Professional,669,38,Outstanding,99 %,1 %,0 %,0 %,14,"3rd Floor, 86-90 Paul Street,",EC2A 4NE,"London,"
Akibaloots,Padrón Soluciones,Spain,Professional,97,1782,Outstanding,100 %,0 %,0 %,0 %,8,"Paseo de la estación,  1, Buen Lugar",35430,Firgas
Akihara,Akihara GmbH,Switzerland,Professional,0,664,,,,,,0,Tössfeldstrasse 67B,8406,Winterthur
Akinari1994,Alex Mazzoni,Italy,Professional,755,220,Outstanding,100 %,0 %,0 %,0 %,11,Corso Del guercino 25A,44042,Cento(FE)
akinos06,auto-entreprise,France,Professional,417,375,Outstanding,100 %,0 %,0 %,0 %,11,15 rue des échelles,38120,saint-égreve
alea77,Magic Fun Torino,Italy,Professional,5170,17441,Outstanding,100 %,0 %,0 %,0 %,14,Via Gioachino Rossini 21D,10124,Torino
alecardsandgame96,Alessandro Medici,Italy,Professional,210,2781,Very good,98 %,0 %,2 %,0 %,14,Via Roveglia Ruffini 67,10040,Leini (TO)
ALFA-TCG,ALFA TCG,Switzerland,Professional,1764,15914,Outstanding,100 %,0 %,0 %,0 %,9,Pappelstrasse 20,4106,Therwil
Alfka,Alfka's Mana Market,United Kingdom,Professional,1189,11545,Outstanding,100 %,0 %,0 %,0 %,10,Online Store,PL65LQ,Plymouth
All-In-TCGames,ALL-IN-TCGAMES,Spain,Powerseller,4003,26404,Outstanding,100 %,0 %,0 %,0 %,10,C/La Longuera Nº63 Edif.La Puntilla 3A,38410,Los Realejos
All-In-TCG,All-In TCG,France,Professional,1193,9100,Outstanding,100 %,0 %,0 %,0 %,12,1 rue relinde,67200,Strasbourg
All4play,All4Play,France,Powerseller,1878,4755,Outstanding,100 %,0 %,0 %,0 %,11,203 avenue de Grande-Bretagne,31300,TOULOUSE
allcardsindeck,All Cards In Deck,France,Professional,5421,9299,Outstanding,99.2 %,0.4 %,0.4 %,0 %,12,8TER GRANDE RUE,91940,SAINT JEAN DE BEAUREGARD
Allgaeu-TCG,Allgäu TCG,Germany,Powerseller,4948,11776,Outstanding,100 %,0 %,0 %,0 %,11,Stampfweg 5b,87463,Dietmannsried
Allofgeek,All Of Geek By Jonax,Belgium,Professional,183,250,Outstanding,100 %,0 %,0 %,0 %,10,Grand Route 332,4610,Beyne-Heusay
AllYouCanPlay,All You Can Play,Italy,Powerseller,1202,5087,Outstanding,100 %,0 %,0 %,0 %,16,Via Placida 21,98121,Messina
AlpacaTCG,"Alpaca Chinchona, E.S.P.J.",Spain,Professional,1161,4120,Outstanding,100 %,0 %,0 %,0 %,9,Calle José Antela Conde 19 Bajo,36205,VIGO
AlphaGremlin,Alpha Collector,Austria,Powerseller,158,605,Outstanding,100 %,0 %,0 %,0 %,20,Rudolf-Nurejew-Promenade 1/4/2,1220,Vienna
AlphaTCG,Christos Georgiou,Cyprus,Professional,27511,10613,Outstanding,99.4 %,0.6 %,0 %,0 %,,P.O. Box 62595,8066,Paphos
AlpManga,ALP'MANGA,France,Professional,2726,5708,Outstanding,100 %,0 %,0 %,0 %,14,23 Rue Des Fossés,38350,La Mure
AltdorGames,Kaissa Ioannina,Greece,Professional,5383,93355,Outstanding,100 %,0 %,0 %,0 %,17,Z. Kaplani 4-6,45444,Ioannina
altrove,Altrove di Michele Polo,Italy,Professional,3994,5617,Outstanding,100 %,0 %,0 %,0 %,18,Via Einaudi 42,09127,Cagliari
AM-giochi,AM GIOCHI E FUMETTI,Italy,Professional,9527,51396,Outstanding,99 %,0 %,1 %,0 %,23,VIA A BARDELLI 4,33035,MARTIGNACCO (UD)
amazingtoys,Amazing Enterprise AG,Switzerland,Professional,1298,33046,Outstanding,100 %,0 %,0 %,0 %,5,Zweierstrasse 123,8003,Zürich
AMpos,FRIKLAND,Spain,Professional,2475,1022,Very good,97 %,1 %,2 %,0 %,7,Cabeza 2,18800,Baza
AndreHerrmann,Speedybricks,Germany,Professional,1051,14782,Outstanding,100 %,0 %,0 %,0 %,11,Stapelholmer Weg 25,24963,Tarp
andretainment,Andrétainment,Germany,Professional,3277,30,Outstanding,100 %,0 %,0 %,0 %,13,Waldstr. 3,56459,Bellingen
Andycards,Andycards Srl,Italy,Professional,29419,7141,Outstanding,100 %,0 %,0 %,0 %,11,Via Achille Grandi 66,48123,Ravenna (RA)
Andys-Pokeshop,Andreas Tanski,Germany,Professional,19515,2944,Outstanding,98.8 %,1.2 %,0 %,0 %,17,Döbrabergstr. 18,50765,Köln
Angeli-e-Draghi,A&D Fantasy srl Angeli e Draghi,Italy,Professional,18770,399100,Outstanding,97.9 %,2.1 %,0 %,0 %,14,Via Luigi Vanvitelli 5/7,00153,ROMA
AngoloNerd,L'Angolo Nerd,Italy,Professional,814,311,Outstanding,100 %,0 %,0 %,0 %,11,Via delle Primule 7,71043,Manfredonia (FG)
ANIGAME,ANIGAME,Austria,Professional,528,9888,Outstanding,98 %,1 %,1 %,0 %,15,Jakoministraße 8,8010,Graz
ANIMA-CARDS,Anima Cards,France,Professional,11965,2774,Outstanding,99.7 %,0.3 %,0 %,0 %,12,180 chemin de la charrière lot 29,38690,COLOMBE
Animehousegr,PANAGIOTIS TZORTZIS,Greece,Professional,15695,219037,Outstanding,99 %,1 %,0 %,0 %,22,Kallidopouloy 26,54642,Thessaloniki
antoct1991,Antonino Germana,Italy,Professional,3020,7384,Outstanding,99 %,0 %,1 %,0 %,21,via Sant’ Eligio 26,95039,Trecastagni
antredemondes,comelli et lefevre SARL,France,Professional,219,8785,Very good,95 %,2 %,3 %,0 %,12,11 rue Austerlitz,60200,Compiègne
Antredujeu,L'antre du Jeu (La Diagonale du Fou),France,Powerseller,40892,425101,Outstanding,99.7 %,0.3 %,0 %,0 %,11,39 rue du vieux sextier,84000,Avignon
Apokalypsia,Anke Lückingsmeier,Germany,Professional,416,3390,Outstanding,100 %,0 %,0 %,0 %,8,Markfeldstr. 8,32130,Enger
Apothicarte,APOTHICARTE,France,Professional,5971,29746,Outstanding,98.7 %,1.3 %,0 %,0 %,14,5 Rue Saint Silain,24000,PERIGUEUX
Appalaway,Markus Alterauge,Germany,Professional,3052,28831,Outstanding,98 %,1 %,1 %,0 %,9,Alperscheid 1,57489,Drolshagen
aquariustcg,Sascha Knoop,Germany,Professional,7012,59317,Outstanding,100 %,0 %,0 %,0 %,11,Luisenstraße 7,13505,Berlin
aquilon-tcg,l'aquilon,France,Professional,2278,52695,Outstanding,100 %,0 %,0 %,0 %,9,9 Rue De La Rafiniere,73460,Gresy Sur Isère
Aradhirs-Kartenwelt,Patrick Mertens Trading Cards,Germany,Professional,681,13969,Outstanding,100 %,0 %,0 %,0 %,8,Oskarstr. 43,46149,Oberhausen
Aragorn44,Dieter Staab,Germany,Professional,15862,4537,Outstanding,100 %,0 %,0 %,0 %,13,Conrad-Röntgen-Str. 3,66450,Bexbach
Arakemon,Arakemon,France,Professional,142,298,Outstanding,98 %,2 %,0 %,0 %,9,"Chemin, De Pech Mary",11600,Aragon
Arantelien,Geis und Lambrecht GbR,Germany,Professional,3181,118027,Outstanding,100 %,0 %,0 %,0 %,13,Appelstr. 1,35305,Grünberg
arcadiacggenova,Queen Esmeralda SRL,Italy,Professional,2257,14935,Outstanding,100 %,0 %,0 %,0 %,14,Corso Buenos Aires 10R,16129,Genova
arcadiagamesragusa,ISEKAI  WORLD s.r.l.s.,Italy,Professional,416,195,Outstanding,100 %,0 %,0 %,0 %,18,Via Demostene 30,97100,Ragusa
ArcadiaGamesSP,Arcadia Srl,Italy,Professional,7182,2893,Outstanding,100 %,0 %,0 %,0 %,18,Via Felice Cavallotti 85,19121,La Spezia
arcadiamazzetta,Galaxy Srl,Italy,Professional,229,248,Outstanding,100 %,0 %,0 %,0 %,18,Via Severino Ferrari 83,19124,La Spezia
Arcana-Trieste,Arcana Distribution Srl,Italy,Powerseller,113972,3485971,Outstanding,100 %,0 %,0 %,0 %,16,Viale Gabriele D'Annunzio 29/F,34138,Trieste
ArcanaFrisia,ArcanaFrisia,Netherlands,Powerseller,20080,12334,Outstanding,100 %,0 %,0 %,0 %,13,Postbus 18,9244ZN,Beetsterzwaag
ArcaneBex,Beck Wittmann,Germany,Professional,1215,11309,Outstanding,100 %,0 %,0 %,0 %,11,Waldkauzweg 104,50997,Köln
ArcaneShop,Sebastian Nazaruk,Poland,Professional,3,2987,,100 %,0 %,0 %,0 %,8,Jana Dekerta 17/18,96-300,Żyrardów
ArcanumITA,Arcanum s.a.s.,Italy,Professional,12115,253935,Outstanding,100 %,0 %,0 %,0 %,16,Via Fiume 31-33,80038,Pomigliano d'Arco
ArcheAJeux,AAJ,France,Professional,10493,2730,Outstanding,100 %,0 %,0 %,0 %,14,Rue De La Porte 85,29200,Brest
ArchetypeTCG,Emeline Lejeune,France,Professional,587,1179,Outstanding,100 %,0 %,0 %,0 %,7,60 rue François 1er,75008,PARIS
Archonium,Samuel Quehen,France,Professional,4335,351,Outstanding,100 %,0 %,0 %,0 %,12,35 rue de l'église,56690,Landevant
ArenaGamesBE,Corentin Bellard,Belgium,Professional,9,133,Good,100 %,0 %,0 %,0 %,9,Rue Joseph Dufrane 10F,7080,Frameries
ArenaGames,ARENA GAMES,Spain,Professional,3211,3340,Outstanding,100 %,0 %,0 %,0 %,6,"Setenil, nº 13",29400,Ronda (Málaga)
Aria-trading,Lucas Saillour,France,Professional,903,1618,Outstanding,100 %,0 %,0 %,0 %,12,1 Clos De La Minée,53150,Gesnes
Arivandale,Arivandale,Austria,Professional,1982,13803,Outstanding,100 %,0 %,0 %,0 %,15,Buchsgasse 35,1220,Wien
ARK-Games,ARK-Games,France,Professional,12152,20234,Outstanding,99 %,1 %,0 %,0 %,16,"16, rue Marcel Adam",95740,Frepillon
ArkadiAStore,ArkadiA Store,Spain,Professional,2748,36712,Outstanding,100 %,0 %,0 %,0 %,7,Virgen Del Pilar Nº2  2-B  (ArkadiA Store),11550,Chipiona
arveena,Arveena,Germany,Professional,2563,10704,Outstanding,100 %,0 %,0 %,0 %,19,Flinsbachstraße 11,54295,Trier
AsgardBCN,Tienda Asgard,Spain,Professional,16318,224119,Outstanding,100 %,0 %,0 %,0 %,7,"Francesc Macia, 33 (Local)",08912,Badalona
AstoraComics,Astora Comics,Spain,Professional,6183,9785,Outstanding,99.6 %,0.4 %,0 %,0 %,10,Montero Ríos 50,15706,Santiago de Compostela
AstroWill,William Dunn,United Kingdom,Professional,2680,34623,Outstanding,100 %,0 %,0 %,0 %,14,Bourne Drive,CT3 1FT,Littlebourne
ateneocomics,Ateneo Comics S.L.U.,Spain,Professional,3424,92854,Outstanding,100 %,0 %,0 %,0 %,8,Serrano 10,03003,ALICANTE
AtheneasHobby,ATHENEAS HOBBY S.L.,Spain,Professional,34600,9565,Outstanding,98.6 %,1.1 %,0.3 %,0 %,9,Martinez de la Rosa 100 local (Atheneas),29010,Malaga
AthensCollectibles,Athens Collectibles LP,Greece,Powerseller,27039,266,Outstanding,99.4 %,0.6 %,0 %,0 %,14,Iamvis 12,10443,Athens
AtlasTCG,"ATLAS ENTERTAINMENT, SOCIEDAD LIMITADA",Spain,Professional,1109,24264,Outstanding,100 %,0 %,0 %,0 %,9,"Calle Orense 70, Pl 9 Izq",28020,Madrid
AtomicCardsTCG,Atomic Cards,United Kingdom,Professional,1530,17690,Outstanding,100 %,0 %,0 %,0 %,14,T18 Hobley Drive,SN34NS,Swindon
AUBAZARDEYIRULD,SJ Office,Belgium,Professional,5161,33385,Outstanding,97 %,2 %,1 %,0 %,18,Avenue de l'Europe 14 - RDC,6000,Charleroi
Auenland,Auenland Inh. R. Nowak,Germany,Professional,13997,1545,Outstanding,100 %,0 %,0 %,0 %,13,Schwanenwall 7,44135,Dortmund
AuraTradingCardGames,Tiziano Orci,Italy,Powerseller,615,611,Outstanding,99 %,1 %,0 %,0 %,14,Via dell'Olmata 25,00048,nettuno
AuroraWolfTCG,GaymerWoelfin-TCG,Germany,Professional,2888,535,Outstanding,100 %,0 %,0 %,0 %,18,Hauptstraße 10,07616,Graitschen bei Bürgel
AVATAR-PL,AVATAR Maciej Wilkosz,Poland,Professional,5071,47166,Outstanding,100 %,0 %,0 %,0 %,24,Witczaka 2A,44-335,Jastrzębie Zdrój
Aviccenna,Michael Feuerstein,Germany,Professional,4011,11865,Outstanding,99.3 %,0.7 %,0 %,0 %,19,Alte Straße 49,04229,Leipzig
AxionNow,Axion  Now,United Kingdom,Professional,2889,140262,Outstanding,100 %,0 %,0 %,0 %,20,"1 Merrit House, Hill Avenue",HP6 5BQ,Amersham
Back-To-Magic,Johann Bargen,Germany,Professional,5998,8942,Outstanding,100 %,0 %,0 %,0 %,11,Detmolder Str. 75,33604,Bielefeld
BackSlash,Reece Simm,United Kingdom,Professional,3428,12618,Outstanding,98.4 %,1.6 %,0 %,0 %,10,11 Wellington Street,CW8 1EG,Northwich
BaffoTCG,Matteo Ragno,France,Professional,10,103,Good,100 %,0 %,0 %,0 %,15,Appart 4,16100,Cognac
balaviaris,John Papadakis,Greece,Professional,13301,1287,Outstanding,99 %,0 %,1 %,0 %,21,Evans 5,71201,Heraklion
Barricax,Mutina Cards & Games,Italy,Professional,11636,19038,Outstanding,99.5 %,0.5 %,0 %,0 %,14,Via G. Tartaglione 19,41123,Modena
BaT-Cards,B.a.T - Cards,Germany,Professional,1910,13272,Outstanding,100 %,0 %,0 %,0 %,11,Bergstraße. 18,69234,Dielheim
bathtcg,Bath TCG,United Kingdom,Professional,8375,548,Outstanding,100 %,0 %,0 %,0 %,10,4 Victoria Buildings,BA2 3EH,Bath
BattleBearTCG,Battle Bear GmbH & Co. KG,Germany,Powerseller,45373,331629,Outstanding,100 %,0 %,0 %,0 %,13,Fruchthallstraße 31,67655,Kaiserslautern
BattleMindTavern,BattleMindTavern,France,Professional,14773,308464,Outstanding,99.7 %,0.3 %,0 %,0 %,,15 RUE DE NORMANDIE,92400,COURBEVOIE
BazaarOfKoji,Bazaar Of Koji,France,Professional,12096,123033,Outstanding,98.7 %,1.3 %,0 %,0 %,16,1 rue Marie gallante,17000,la Rochelle
Bazaarofmagic,Bazaar of Magic,Netherlands,Powerseller,43036,841742,Outstanding,98.4 %,1.3 %,0.3 %,0 %,12,Rotterdamseweg 370 A9,2629HG,Delft
BB-Online-Handel,BB Online-Handel,Germany,Professional,6640,1273,Outstanding,100 %,0 %,0 %,0 %,11,Gutensweger Weg 1,39326,Klein Ammensleben
BB-Spiele,Collectibles-Hub GmbH,Germany,Powerseller,227885,153465,Outstanding,99.8 %,0.2 %,0 %,0 %,16,Kolbermoorer Str. 20,83026,Rosenheim
Beale,Fernando Estran Ramirez,Spain,Professional,7068,23281,Outstanding,99.5 %,0.5 %,0 %,0 %,12,Camino San Lazaro 44,38203,Tenerife
BedwyrLand,BedwyrLand,France,Professional,4866,7021,Outstanding,100 %,0 %,0 %,0 %,9,"16, Rue Des Sables",85670,La Chapelle-Palluau
BeerandPretzelGaming,Beer & Pretzel Gaming ltd,United Kingdom,Professional,283,88,Outstanding,100 %,0 %,0 %,0 %,12,95-95a Highgate,LA9 4EN,Kendal
beetle56,Jorge San Segundo,Spain,Professional,3566,49428,Outstanding,100 %,0 %,0 %,0 %,9,Valencia,46011,Valencia
Belharion,Arne Van Bochove,Germany,Professional,8377,6186,Outstanding,100 %,0 %,0 %,0 %,16,Friedenstraße 38a,35614,Aßlar
Bendel-Cards,Bendel's Cards,France,Professional,1382,243,Outstanding,100 %,0 %,0 %,0 %,11,4C chemin du boudonnet,05130,Tallard
Benjie,Chez Benjie,France,Powerseller,4849,6303,Outstanding,100 %,0 %,0 %,0 %,11,1 chemin de la blanchisserie,38100,Grenoble
Benjimoney23,Michael Katzlberger,Austria,Professional,2713,150,Outstanding,99.2 %,0.8 %,0 %,0 %,15,Friedrich Schlögl Gasse 12b,3011,Purkersdorf
bestmarmotte,Bertrand Fagnoni,France,Professional,2742,50132,Outstanding,100 %,0 %,0 %,0 %,18,25 rue de la Defense,92130,issy les moulineaux
BetaCards,Beta Card,Germany,Professional,9279,6504,Outstanding,100 %,0 %,0 %,0 %,11,Lilienweg 1,31171,Nordstemmen
Betooin,Les trésors de Betooin,France,Professional,3824,5056,Outstanding,100 %,0 %,0 %,0 %,12,8 rue des ormeaux,81200,Aussillon
BetterMagic,BetterMagic - Marco Klassen,Germany,Powerseller,466,7038,Outstanding,100 %,0 %,0 %,0 %,13,Papendiekstr. 71,32257,Bünde
BeyondGames,Pactimex sp. z o. o.,Poland,Professional,6485,36488,Outstanding,100 %,0 %,0 %,0 %,17,"Gen. Wl. Andersa 38, 8 pietro",15-113,Bialystok
Bigspenner,Paul Spence,United Kingdom,Professional,13972,75953,Outstanding,100 %,0 %,0 %,0 %,20,Sconce Lane Faweather Mistal,BD16 3BL,Bradford
biverboat,BIVERBOAT,France,Powerseller,49709,989026,Outstanding,100 %,0 %,0 %,0 %,16,28 rue Marcel Henaux,59700,Marcq en Baroeul
BizkyShop,Giacomo Dosso,Switzerland,Professional,65,317,Outstanding,100 %,0 %,0 %,0 %,7,Via Dei Lucchini 7A,6926,Montagnola
Bjoerns-Spot,Björn Pusch,Germany,Professional,686,2785,Outstanding,100 %,0 %,0 %,0 %,9,Helmholtzstr. 20,23562,Lübeck
BK-Trading,BK-Trading - Benjamin Kafka,Germany,Powerseller,6956,1378,Outstanding,100 %,0 %,0 %,0 %,16,Neckarstr. 9,73728,Esslingen
BlackCatGames,Mika Sadzakov und Joschka Sadzakov GbR,Germany,Professional,22308,22711,Outstanding,100 %,0 %,0 %,0 %,16,Briller Str. 23a,42105,Wuppertal
BlackDragonIT,Luca Della Corte,Italy,Powerseller,1623,29182,Outstanding,99.3 %,0 %,0.7 %,0 %,23,"Via Messina, 7",84098,Pontecagnano
BlackFlameGreece,Black Flame Collectables,Greece,Professional,16130,147578,Outstanding,99.7 %,0.3 %,0 %,0 %,16,Kouskoura Street 18,55131,Kalamaria Thessaloniki
BlackLotusCardstore,Black Lotus Cardstore,Italy,Professional,6968,150353,Outstanding,98.8 %,1.2 %,0 %,0 %,11,Galleria Mirabello 11/a,20081,Abbiategrasso
BlacklotusCZ,"Black Lotus, s. r. o.",Czech Republic,Professional,12058,230290,Outstanding,97.8 %,2.2 %,0 %,0 %,16,Zengrova 550/101,70300,Ostrava
BlacPhoenix,Dragonlord Games Würzburg,Germany,Professional,3136,1055,Outstanding,100 %,0 %,0 %,0 %,9,Wenzelstr. 18,97084,Würzburg
BlingKong,BlingKong,Netherlands,Professional,3086,1221,Outstanding,100 %,0 %,0 %,0 %,16,Ceciliastraat 13,6137AH,Sittard
BlockhouseGames,Blockhouse Games OY,Finland,Professional,1151,296,Outstanding,99 %,0 %,1 %,0 %,14,Kauppiaskatu 15,20100,Turku
Blodband,Blodband LTD,United Kingdom,Powerseller,867,10853,Good,95 %,1 %,3 %,1 %,21,"Blodband, Unit 13:101, The Guild",SP20RS,Wilton
blubb1-0,Dominic Aichinger,Austria,Professional,4165,4046,Outstanding,100 %,0 %,0 %,0 %,14,Ferdinand Porsche Ring 1/1/10/32,2700,Wiener Neustadt
BlueDragons-Shop,BlueDragons-Shop,Italy,Professional,14359,578475,Outstanding,100 %,0 %,0 %,0 %,20,Via Ventimiglia 115,41125,Modena
BlueRiderTCG,BlueRiderTCG JM,Spain,Professional,47,85,Outstanding,100 %,0 %,0 %,0 %,10,"C/ Benimuslem N°3, Bajo",46010,Valencia
boardsandswords,Boards and Swords Hobbies,United Kingdom,Professional,397,1519,Outstanding,100 %,0 %,0 %,0 %,10,3 Jubilee Parkway,DE21 4BJ,Derby
Bobbyvankenobby,Saschas Magic Shop,Germany,Powerseller,531,7852,Outstanding,100 %,0 %,0 %,0 %,12,Münchner Straße 25 A,85659,Forstern
Bolt-the-Bird-Ltd,Bolt the Bird LTD,United Kingdom,Professional,14455,26437,Outstanding,99.3 %,0.7 %,0 %,0 %,20,"FAO: Bolt the Bird LTD, Unit 6a & 6b, The Peel Centre, St Ann Way",GL1 5SF,Gloucester
BoltthebirdCZ,BoltthebirdCZ s.r.o.,Czech Republic,Professional,40819,1581109,Outstanding,99.5 %,0.4 %,0.1 %,0 %,27,Prostějovská 68/8,79817,Smržice
Boneshop-Goslar,www.Boneshop-Tabletop.com,Germany,Professional,4091,90432,Outstanding,100 %,0 %,0 %,0 %,19,Hauptstraße 48,38690,Goslar
boogoo,Boogooland,Greece,Professional,33,235,Good,100 %,0 %,0 %,0 %,16,Chatziargiri 64,38333,Volos
BoomKegGaming,Boom Keg Gaming Ltd.,United Kingdom,Professional,31539,347838,Outstanding,100 %,0 %,0 %,0 %,14,44 Springfield Road,NN15 6EA,Kettering
BoosterKoenig,BoosterKönig,Germany,Professional,237,278,Outstanding,100 %,0 %,0 %,0 %,13,Johann-Schmidt-Str. 11A,86899,Landsberg am Lech
boostertcgandmore,Alexander Preiß & Tom Tietjen GbR,Germany,Professional,4456,2332,Outstanding,100 %,0 %,0 %,0 %,18,Hans-Bredow-Straße 19,28307,Bremen
BorderlessTCG,BorderlessTCG,Germany,Professional,4997,14084,Outstanding,100 %,0 %,0 %,0 %,13,Bürg 14,94474,Vilshofen
Bougetonpion,sarl bouge ton pion,France,Professional,33,94,Good,100 %,0 %,0 %,0 %,7,10 Rue Jean Le Berre,29120,Pont L Abbé
BourneToys,Bourne Toys,United Kingdom,Professional,335,2160,Outstanding,100 %,0 %,0 %,0 %,12,"Unit 5, The Burghley Centre",PE10 9EG,Bourne
Boutique-TCG,Fantasy Cards,France,Professional,14909,607613,Outstanding,99.9 %,0.1 %,0 %,0 %,18,1 Bd. Charles De Gaulle,42120,Le Coteau
Bovarim,Bart Wiegant,Netherlands,Professional,4063,25825,Outstanding,100 %,0 %,0 %,0 %,11,Rietkamp 29,4133CR,Vianen
BowmanTCG,BOWMAN,Croatia,Professional,6338,118109,Outstanding,100 %,0 %,0 %,0 %,22,Vinogradska 5,31000,Osijek
BoxFreshGaming,Adam Midgley,United Kingdom,Professional,3397,10172,Outstanding,100 %,0 %,0 %,0 %,12,56 Ganners Lane,LS13 2NX,Leeds
BoxHorizons,BoxHorizons,France,Professional,5864,20929,Outstanding,100 %,0 %,0 %,0 %,9,13 Rue Du Mont Blanc,74000,ANNECY
bradpitkeeper,Maxime Martin,France,Professional,12022,71491,Outstanding,99.4 %,0.6 %,0 %,0 %,18,14 Rue Pierre Robin,69007,Lyon
BrandyBrand,BrandyBrand,Germany,Professional,5664,9645,Outstanding,100 %,0 %,0 %,0 %,8,Auf dem Halmburger 6,35043,Marburg
