name,version,rarity,card_number,set,image_url,available_items,price_from,price_trend,avg_30_days,avg_7_days,avg_1_day
Beastrider Vanguard,,Common,154,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807963/807963.jpg,12674,"0,02 €","0,08 €","0,09 €","0,10 €","0,02 €"
Bestow Greatness,,Common,155,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/808225/808225.jpg,13469,"0,02 €","0,03 €","0,05 €","0,03 €","0,02 €"
Bleachbone Verge,,Rare,250,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807216/807216.jpg,826,"7,50 €","8,47 €","8,59 €","8,59 €","8,09 €"
Bloodfell Caves,,Common,251,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807217/807217.jpg,8892,"0,02 €","0,10 €","0,06 €","0,13 €","0,02 €"
Bloodghast,,Rare,77,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/808205/808205.jpg,1089,"0,70 €","1,46 €","1,44 €","1,43 €","1,12 €"
Blossoming Sands,,Common,252,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807218/807218.jpg,8936,"0,02 €","0,05 €","0,06 €","0,04 €","0,07 €"
Boom Scholar,,Uncommon,189,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807194/807194.jpg,7510,"0,02 €","0,08 €","0,07 €","0,06 €","0,08 €"
Boommobile,,Rare,113,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809212/809212.jpg,4825,£0.02,"0,16 €","0,12 €","0,16 €","0,08 €"
Boosted Sloop,,Uncommon,190,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807986/807986.jpg,7285,"0,02 €","0,08 €","0,11 €","0,10 €","0,05 €"
Bounce Off,,Common,39,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807893/807893.jpg,12886,"0,02 €","0,10 €","0,10 €","0,13 €","0,23 €"
Brightfield Glider,,Common,4,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807171/807171.jpg,13733,"0,02 €","0,03 €","0,06 €","0,03 €","0,02 €"
Brightfield Mustang,,Common,5,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/808219/808219.jpg,13687,"0,02 €","0,06 €","0,06 €","0,03 €","0,02 €"
Brightglass Gearhulk,,Mythic,191,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807195/807195.jpg,1431,"3,50 €","4,89 €","4,98 €","4,81 €","4,30 €"
Broadcast Rambler,,Common,6,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807833/807833.jpg,13586,"0,02 €","0,05 €","0,04 €","0,04 €","0,02 €"
Broadside Barrage,,Uncommon,192,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/806110/806110.jpg,5917,"0,02 €","0,26 €","0,17 €","0,22 €","0,28 €"
Broken Wings,,Common,156,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/808211/808211.jpg,13546,"0,02 €","0,03 €","0,03 €","0,02 €","0,02 €"
Broodheart Engine,,Uncommon,193,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809175/809175.jpg,6602,"0,02 €","0,13 €","0,16 €","0,18 €","0,05 €"
Bulwark Ox,,Rare,7,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809156/809156.jpg,3569,"0,09 €","0,25 €","0,26 €","0,29 €","0,26 €"
Burner Rocket,,Common,114,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807184/807184.jpg,13112,"0,02 €","0,13 €","0,07 €","0,09 €","0,02 €"
Burnout Bashtronaut,,Rare,115,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809158/809158.jpg,1896,"0,13 €","0,51 €","0,62 €","0,62 €","0,66 €"
"Caelorna, Coral Tyrant",,Uncommon,40,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809063/809063.jpg,7007,"0,02 €","0,11 €","0,11 €","0,08 €","0,11 €"
Camera Launcher,,Common,232,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807213/807213.jpg,13597,"0,02 €","0,08 €","0,05 €","0,05 €","0,02 €"
Canyon Vaulter,,Uncommon,8,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807172/807172.jpg,7479,"0,02 €","0,06 €","0,07 €","0,05 €","0,07 €"
"Captain Howler, Sea Scourge",,Rare,194,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809076/809076.jpg,3423,"0,10 €","0,27 €","0,26 €","0,28 €","0,15 €"
"Caradora, Heart of Alacria",,Rare,195,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807196/807196.jpg,4777,"0,05 €","0,09 €","0,09 €","0,06 €","0,05 €"
Carrion Cruiser,,Uncommon,78,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807179/807179.jpg,7662,"0,02 €","0,07 €","0,07 €","0,04 €","0,05 €"
"Chandra, Spark Hunter",,Mythic,116,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/808810/808810.jpg,587,"3,50 €","3,86 €","4,29 €","3,93 €","3,33 €"
Chitin Gravestalker,,Common,79,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/808206/808206.jpg,10109,"0,02 €","0,11 €","0,12 €","0,10 €","0,02 €"
Clamorous Ironclad,,Common,117,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807185/807185.jpg,13451,"0,02 €","0,11 €","0,07 €","0,09 €","0,02 €"
Cloudspire Captain,,Uncommon,9,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807862/807862.jpg,7157,"0,02 €","0,14 €","0,13 €","0,14 €","0,12 €"
Cloudspire Coordinator,,Uncommon,196,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807197/807197.jpg,7220,"0,02 €","0,09 €","0,09 €","0,08 €","0,05 €"
Cloudspire Skycycle,,Uncommon,197,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807404/807404.jpg,7690,"0,02 €","0,02 €","0,06 €","0,03 €","0,02 €"
Coalstoke Gearhulk,,Mythic,198,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807198/807198.jpg,1747,"0,30 €","0,74 €","0,68 €","0,74 €","0,72 €"
Collision Course,,Common,10,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807864/807864.jpg,13807,"0,02 €","0,08 €","0,06 €","0,05 €","0,02 €"
Count on Luck,,Rare,118,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/808208/808208.jpg,4007,"0,10 €","0,36 €","0,31 €","0,33 €","0,51 €"
Country Roads,,Uncommon,253,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807219/807219.jpg,7000,"0,02 €","0,10 €","0,10 €","0,09 €","0,06 €"
Crash and Burn,,Common,119,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807402/807402.jpg,13564,"0,02 €","0,06 €","0,04 €","0,05 €","0,02 €"
Cryptcaller Chariot,,Rare,80,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809187/809187.jpg,2962,"0,10 €","0,35 €","0,38 €","0,39 €","0,23 €"
Cursecloth Wrappings,,Rare,81,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807180/807180.jpg,4155,"0,08 €","0,24 €","0,24 €","0,23 €","0,16 €"
"Daretti, Rocketeer Engineer",,Rare,120,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809067/809067.jpg,4217,"0,05 €","0,21 €","0,22 €","0,21 €","0,24 €"
Daring Mechanic,,Common,11,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/808401/808401.jpg,13601,"0,02 €","0,03 €","0,03 €","0,02 €","0,02 €"
Deathless Pilot,,Common,82,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807953/807953.jpg,13610,"0,02 €","0,09 €","0,05 €","0,08 €","0,05 €"
Debris Beetle,,Rare,199,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809198/809198.jpg,4506,"0,05 €","0,08 €","0,15 €","0,14 €","0,06 €"
Defend the Rider,,Uncommon,157,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809174/809174.jpg,3482,£0.02,"0,48 €","0,45 €","0,48 €","0,28 €"
Demonic Junker,,Rare,83,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809114/809114.jpg,3060,"0,10 €","0,32 €","0,36 €","0,37 €","0,35 €"
Detention Chariot,,Uncommon,12,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/808402/808402.jpg,7313,£0.02,"0,07 €","0,05 €","0,05 €","0,29 €"
Dismal Backwater,,Common,254,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807220/807220.jpg,8804,"0,02 €","0,05 €","0,06 €","0,05 €","0,05 €"
District Mascot,,Rare,158,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807966/807966.jpg,3343,"0,14 €","0,32 €","0,28 €","0,31 €","0,28 €"
Diversion Unit,,Uncommon,41,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/808803/808803.jpg,6265,"0,02 €","0,17 €","0,17 €","0,19 €","0,17 €"
Draconautics Engineer,,Rare,121,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/806108/806108.jpg,2697,"0,05 €","0,33 €","0,34 €","0,33 €","0,51 €"
Dracosaur Auxiliary,,Uncommon,122,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807186/807186.jpg,7516,"0,02 €","0,09 €","0,08 €","0,09 €","0,10 €"
Dredger's Insight,,Uncommon,159,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/808212/808212.jpg,2238,"0,02 €","0,40 €","0,48 €","0,34 €","0,36 €"
Dune Drifter,,Uncommon,200,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809215/809215.jpg,7615,"0,02 €","0,04 €","0,05 €","0,03 €","0,05 €"
Dynamite Diver,,Common,123,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809068/809068.jpg,13286,"0,02 €","0,12 €","0,09 €","0,09 €","0,02 €"
Earthrumbler,,Uncommon,160,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/808213/808213.jpg,7496,"0,02 €","0,08 €","0,07 €","0,06 €","0,05 €"
Elvish Refueler,,Uncommon,161,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/806109/806109.jpg,7298,"0,02 €","0,08 €","0,10 €","0,11 €","0,15 €"
Embalmed Ascendant,,Uncommon,201,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/808420/808420.jpg,7814,"0,02 €","0,05 €","0,14 €","0,06 €","0,10 €"
Endrider Catalyzer,,Common,124,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809151/809151.jpg,13487,"0,02 €","0,04 €","0,06 €","0,03 €","0,02 €"
Endrider Spikespitter,,Uncommon,125,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/808224/808224.jpg,7705,"0,02 €","0,07 €","0,06 €","0,06 €","0,05 €"
Engine Rat,,Common,84,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/808207/808207.jpg,12233,"0,02 €","0,18 €","0,10 €","0,08 €","0,03 €"
Explosive Getaway,,Rare,202,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/808218/808218.jpg,5722,"0,02 €","0,13 €","0,14 €","0,14 €","0,04 €"
Fang-Druid Summoner,,Uncommon,163,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809147/809147.jpg,7558,"0,02 €","0,13 €","0,12 €","0,10 €","0,06 €"
Fang Guardian,,Uncommon,162,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807190/807190.jpg,7653,"0,02 €","0,08 €","0,05 €","0,06 €","0,07 €"
"Far Fortune, End Boss",,Rare,203,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/808215/808215.jpg,4799,"0,02 €","0,14 €","0,15 €","0,13 €","0,07 €"
Fearless Swashbuckler,,Rare,204,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807199/807199.jpg,4450,£0.02,"0,11 €","0,15 €","0,10 €","0,07 €"
Flood the Engine,,Common,42,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/808405/808405.jpg,13354,"0,02 €","0,10 €","0,06 €","0,07 €","0,02 €"
Forest,V.1,Land,276,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807262/807262.jpg,7905,£0.05,"0,17 €","0,20 €","0,17 €","0,11 €"
Forest,V.2,Land,289,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/806123/806123.jpg,3069,"0,02 €","0,11 €","0,12 €","0,10 €","0,10 €"
Forest,V.3,Land,290,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/806124/806124.jpg,2839,"0,04 €","0,06 €","0,13 €","0,10 €","0,19 €"
Forest,V.4,Land,291,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/806125/806125.jpg,4588,"0,02 €","0,10 €","0,10 €","0,10 €","0,08 €"
Foul Roads,,Uncommon,255,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807221/807221.jpg,7384,"0,02 €","0,11 €","0,07 €","0,08 €","0,14 €"
Fuel the Flames,,Uncommon,126,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809183/809183.jpg,6600,"0,02 €","0,17 €","0,11 €","0,11 €","0,16 €"
Full Throttle,,Rare,127,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809069/809069.jpg,1776,"0,49 €","1,26 €","1,33 €","1,32 €","1,42 €"
Gallant Strike,,Uncommon,13,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/808403/808403.jpg,7774,"0,02 €","0,14 €","0,10 €","0,09 €","0,05 €"
Gas Guzzler,,Rare,85,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809181/809181.jpg,4087,"0,05 €","0,19 €","0,24 €","0,24 €","0,15 €"
Gastal Blockbuster,,Common,128,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807403/807403.jpg,13589,"0,02 €","0,08 €","0,03 €","0,06 €","0,25 €"
Gastal Raider,,Uncommon,86,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/808411/808411.jpg,7437,"0,02 €","0,11 €","0,10 €","0,13 €","0,05 €"
Gastal Thrillroller,,Rare,129,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/808415/808415.jpg,4645,£0.02,"0,14 €","0,15 €","0,10 €","0,05 €"
Gastal Thrillseeker,,Uncommon,205,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807836/807836.jpg,7123,"0,02 €","0,11 €","0,13 €","0,14 €","0,10 €"
Gearseeker Serpent,,Common,43,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/808804/808804.jpg,12684,"0,02 €","0,02 €","0,09 €","0,05 €","0,04 €"
Gilded Ghoda,,Common,130,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809070/809070.jpg,13578,"0,02 €","0,09 €","0,12 €","0,09 €","0,02 €"
Glitch Ghost Surveyor,,Common,44,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809168/809168.jpg,13659,"0,02 €","0,02 €","0,02 €","0,02 €","0,02 €"
Gloryheath Lynx,,Uncommon,14,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809166/809166.jpg,6867,"0,02 €","0,22 €","0,13 €","0,24 €","0,50 €"
Goblin Surveyor,,Common,131,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/808209/808209.jpg,13407,"0,02 €","0,10 €","0,07 €","0,09 €","0,02 €"
"Gonti, Night Minister",,Rare,87,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/808412/808412.jpg,2439,"0,10 €","0,57 €","0,51 €","0,53 €","0,48 €"
Greasewrench Goblin,,Uncommon,132,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807958/807958.jpg,6363,"0,02 €","0,16 €","0,13 €","0,16 €","0,08 €"
Greenbelt Guardian,,Uncommon,164,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/808812/808812.jpg,7301,"0,02 €","0,11 €","0,11 €","0,11 €","0,02 €"
Grim Bauble,,Common,88,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/808806/808806.jpg,7067,£0.02,"0,17 €","0,28 €","0,22 €","0,20 €"
Grim Javelineer,,Common,89,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809115/809115.jpg,13738,"0,02 €","0,04 €","0,03 €","0,03 €","0,02 €"
Guardian Sunmare,,Rare,15,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807866/807866.jpg,4416,£0.02,"0,14 €","0,18 €","0,13 €","0,05 €"
Guidelight Matrix,,Common,233,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809164/809164.jpg,13160,"0,02 €","0,04 €","0,06 €","0,05 €","0,02 €"
Guidelight Optimizer,,Common,45,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809191/809191.jpg,13199,"0,02 €","0,05 €","0,09 €","0,06 €","0,02 €"
Guidelight Pathmaker,,Uncommon,206,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809189/809189.jpg,7323,"0,02 €","0,13 €","0,11 €","0,09 €","0,04 €"
Guidelight Synergist,,Uncommon,16,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809060/809060.jpg,6999,"0,02 €","0,07 €","0,09 €","0,07 €","0,06 €"
Haunt the Network,,Uncommon,207,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807200/807200.jpg,6940,"0,02 €","0,10 €","0,12 €","0,09 €","0,05 €"
Haunted Hellride,,Uncommon,208,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/808216/808216.jpg,7642,"0,02 €","0,07 €","0,07 €","0,09 €","0,02 €"
Hazard of the Dunes,,Common,165,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/808813/808813.jpg,12979,"0,02 €","0,07 €","0,06 €","0,08 €","0,02 €"
"Hazoret, Godseeker",,Mythic,133,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807959/807959.jpg,1742,"0,40 €","0,70 €","0,79 €","0,68 €","0,64 €"
Hellish Sideswipe,,Uncommon,90,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809153/809153.jpg,7724,"0,02 €","0,13 €","0,09 €","0,09 €","0,05 €"
Hour of Victory,,Uncommon,91,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809199/809199.jpg,7425,"0,02 €","0,07 €","0,10 €","0,09 €","0,11 €"
Howler's Heavy,,Common,46,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809182/809182.jpg,13735,"0,02 €","0,04 €","0,03 €","0,05 €","0,02 €"
Howlsquad Heavy,,Rare,134,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807187/807187.jpg,1879,"0,40 €","0,79 €","0,85 €","0,77 €","0,77 €"
Hulldrifter,,Common,47,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809112/809112.jpg,13438,"0,02 €","0,08 €","0,07 €","0,06 €","0,02 €"
Interface Ace,,Common,17,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809161/809161.jpg,13301,"0,02 €","0,08 €","0,08 €","0,07 €","0,02 €"
Intimidation Tactics,,Uncommon,92,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807401/807401.jpg,4547,"0,02 €","0,23 €","0,27 €","0,27 €","0,05 €"
Island,V.1,Land,273,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807259/807259.jpg,6298,"0,09 €","0,26 €","0,20 €","0,28 €","0,34 €"
Island,V.2,Land,280,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/806114/806114.jpg,3209,"0,02 €","0,09 €","0,17 €","0,22 €","0,07 €"
Island,V.3,Land,281,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/806115/806115.jpg,4150,"0,02 €","0,09 €","0,17 €","0,20 €","0,10 €"
Island,V.4,Land,282,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/806116/806116.jpg,4423,"0,02 €","0,08 €","0,13 €","0,13 €","0,25 €"
Jibbirik Omnivore,,Common,166,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809179/809179.jpg,13532,"0,02 €","0,04 €","0,07 €","0,04 €","0,02 €"
Jungle Hollow,,Common,256,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807222/807222.jpg,8895,"0,02 €","0,02 €","0,05 €","0,02 €","0,04 €"
"Kalakscion, Hunger Tyrant",,Uncommon,93,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809211/809211.jpg,6785,"0,02 €","0,14 €","0,14 €","0,10 €","0,30 €"
Keen Buccaneer,,Common,48,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807175/807175.jpg,13404,"0,02 €","0,08 €","0,06 €","0,07 €","0,02 €"
"Ketramose, the New Dawn",,Mythic,209,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/808217/808217.jpg,1702,£7.00,"9,11 €","10,22 €","9,58 €","8,99 €"
Kickoff Celebrations,,Common,135,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809071/809071.jpg,13309,"0,02 €","0,23 €","0,12 €","0,14 €","0,03 €"
"Kolodin, Triumph Caster",,Rare,210,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807405/807405.jpg,4722,£0.02,"0,16 €","0,14 €","0,15 €","0,20 €"
"Lagorin, Soul of Alacria",,Uncommon,211,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807201/807201.jpg,7353,"0,02 €","0,11 €","0,09 €","0,12 €","0,14 €"
Leonin Surveyor,,Common,18,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809209/809209.jpg,13607,"0,02 €","0,05 €","0,04 €","0,04 €","0,02 €"
Lifecraft Engine,,Rare,234,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809177/809177.jpg,4419,£0.02,"0,19 €","0,22 €","0,17 €","0,12 €"
Lightning Strike,,Common,136,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809116/809116.jpg,12648,"0,02 €","0,13 €","0,10 €","0,19 €","0,02 €"
Lightshield Parry,,Common,19,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809173/809173.jpg,13857,"0,02 €","0,12 €","0,05 €","0,11 €","0,02 €"
Lightwheel Enhancements,,Common,20,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807173/807173.jpg,12839,"0,02 €","0,02 €","0,09 €","0,07 €","0,02 €"
Locust Spray,,Uncommon,95,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807181/807181.jpg,7390,"0,02 €","0,08 €","0,13 €","0,14 €","0,04 €"
"Loot, the Pathfinder",,Mythic,212,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807202/807202.jpg,2130,"0,48 €","0,74 €","0,77 €","0,68 €","0,75 €"
Lotusguard Disciple,,Common,21,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809111/809111.jpg,13581,"0,02 €","0,04 €","0,05 €","0,05 €","0,02 €"
Loxodon Surveyor,,Common,167,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809185/809185.jpg,13659,"0,02 €","0,02 €","0,03 €","0,04 €","0,02 €"
Lumbering Worldwagon,,Rare,168,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/808419/808419.jpg,1746,"0,10 €","0,64 €","0,60 €","0,66 €","0,32 €"
Magmakin Artillerist,,Common,137,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809117/809117.jpg,10016,"0,02 €","0,18 €","0,12 €","0,15 €","0,28 €"
Marauding Mako,,Uncommon,138,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809184/809184.jpg,3823,"0,24 €","0,59 €","0,77 €","0,67 €","0,40 €"
March of the World Ooze,,Mythic,169,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/808814/808814.jpg,1717,"0,90 €","1,40 €","1,49 €","1,53 €","1,36 €"
Marketback Walker,,Rare,235,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/806111/806111.jpg,3096,£0.10,"0,61 €","0,60 €","0,61 €","0,41 €"
Marshals' Pathcruiser,,Uncommon,236,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/807407/807407.jpg,7880,"0,02 €","0,10 €","0,05 €","0,09 €","0,02 €"
Maximum Overdrive,,Common,96,Aetherdrift,https://product-images.s3.cardmarket.com/1/DFT/809169/809169.jpg,13108,"0,02 €","0,12 €","0,10 €","0,16 €","0,49 €"
